Document,Topic,Name,Representation
"bloodbath in stock markets
nifty down  points
sensex down  points
us tarrifs are showing their huge impact on global markets
be cautious while investing
ustariff 
trumptariffs ",2,2_sampp_stock_stocks_nasdaq,"['sampp', 'stock', 'stocks', 'nasdaq', 'market', 'futures', 'markets', 'points', 'investors', 'rally']"
stocks having their worst day since the trump covid shutdowns trumptaxday trumptariffs trumptariff,2,2_sampp_stock_stocks_nasdaq,"['sampp', 'stock', 'stocks', 'nasdaq', 'market', 'futures', 'markets', 'points', 'investors', 'rally']"
"   i mean those are just facts the dow would be at k had trump not unveiled a massive tariff strategy that included  on an island of penguins
inflation is going to hit again the next  months with price increases that are already happening because trump upended the economy ",2,2_sampp_stock_stocks_nasdaq,"['sampp', 'stock', 'stocks', 'nasdaq', 'market', 'futures', 'markets', 'points', 'investors', 'rally']"
president trump is still issuing tariff threats consumer spending is weakening and the mideast is in turmoil so why did the sampp  hit a record high friday  via ,2,2_sampp_stock_stocks_nasdaq,"['sampp', 'stock', 'stocks', 'nasdaq', 'market', 'futures', 'markets', 'points', 'investors', 'rally']"
 hi   thank you for the news about the stand off continues  beijing evaluating tariff negotiations warren buffett criticizes  felon trump trade amp tariff ,3,3_china_chinese_additional_trump,"['china', 'chinese', 'additional', 'trump', 'war', 'he', 'on', 'xi', 'chinas', 'his']"
  trump started something amp shot himself in the foothe scurried to mend the damage no mention of the  tariff on us goods why the chinese were never retaliatingnothing has changed but a  days hiatus china has expanded its global reach the us has shrunk chinas  trump,3,3_china_chinese_additional_trump,"['china', 'chinese', 'additional', 'trump', 'war', 'he', 'on', 'xi', 'chinas', 'his']"
  noah to build on your comment trump still has a  percent tariff on almost all goods coming from china if he was groveling he would have lowered the tariffs before talks,3,3_china_chinese_additional_trump,"['china', 'chinese', 'additional', 'trump', 'war', 'he', 'on', 'xi', 'chinas', 'his']"
 thank you china for saving the world if you didnt stood up when you did trump would have left those ridiculous reciprocal tariff on those weak countries,3,3_china_chinese_additional_trump,"['china', 'chinese', 'additional', 'trump', 'war', 'he', 'on', 'xi', 'chinas', 'his']"
" before trumps disastrous trade war with china in 

 on chinese goods
 on us goods

you didnt win anything trump caused a tariff spiral that hurt us consumersbusinesses and then came back pretending to fix the mess he madejust by making it slightly less awful",3,3_china_chinese_additional_trump,"['china', 'chinese', 'additional', 'trump', 'war', 'he', 'on', 'xi', 'chinas', 'his']"
"ustariff mixed baggage  
pharmaceuticals semiconductors energy cu exempted likely beneficial as  now focuses in this sector
us high tariff on  goods opportunity 
steel al tax likely ve impact autos mixedmaruti etc dont export  ustata collaborating",4,4_india_pakistan_ustariff_indian,"['india', 'pakistan', 'ustariff', 'indian', 'trumptariff', 'impact', 'ceasefire', 'deal', 'tradewar', 'trade']"
imports fingers crossed cooler heads prevail trumptariff tradewar eu usdow nashville ,4,4_india_pakistan_ustariff_indian,"['india', 'pakistan', 'ustariff', 'indian', 'trumptariff', 'impact', 'ceasefire', 'deal', 'tradewar', 'trade']"
"to offset the imbalance and ease tariff pressures islamabad has offered to import more us goods including crude oil and to open up investment opportunities through concessions for us firms in pakistans mining sector

",4,4_india_pakistan_ustariff_indian,"['india', 'pakistan', 'ustariff', 'indian', 'trumptariff', 'impact', 'ceasefire', 'deal', 'tradewar', 'trade']"
 this recent conflict started on april  when pakistani militants attacked indian tourists in kashmir killing about  indian nationals amp one nepalese national i suspect that china is instigating pakistan after us companies decided to move to india to ease tariff effects,4,4_india_pakistan_ustariff_indian,"['india', 'pakistan', 'ustariff', 'indian', 'trumptariff', 'impact', 'ceasefire', 'deal', 'tradewar', 'trade']"
"nikkei indias exports to us top other destinations 

source  ",4,4_india_pakistan_ustariff_indian,"['india', 'pakistan', 'ustariff', 'indian', 'trumptariff', 'impact', 'ceasefire', 'deal', 'tradewar', 'trade']"
with high tax credits allowing manitobas film production industry to skyrocket in recent years trump tariff threats could put it in jeopardy  reports ,5,5_produced_outside_foreign_industry,"['produced', 'outside', 'foreign', 'industry', 'announces', 'president', 'all', 'on', 'imported', 'into']"
"

the movie industry american or foriegn is a very competitive industry it requires all actors directors etc sell themselves to whoever can buysell their craft they go to wherever for movie making if peopl understand that  everything should survive",5,5_produced_outside_foreign_industry,"['produced', 'outside', 'foreign', 'industry', 'announces', 'president', 'all', 'on', 'imported', 'into']"
donald trump wants to put a  tariff on hollywood  via ,5,5_produced_outside_foreign_industry,"['produced', 'outside', 'foreign', 'industry', 'announces', 'president', 'all', 'on', 'imported', 'into']"
oh look trump just slapped a  tariff on foreignmade movies to save hollywood i guess everyone outside the us will just stop making films now right  hollywood trumptariff movieindustry,5,5_produced_outside_foreign_industry,"['produced', 'outside', 'foreign', 'industry', 'announces', 'president', 'all', 'on', 'imported', 'into']"
trump announces  tariff on movies produced outside us ,5,5_produced_outside_foreign_industry,"['produced', 'outside', 'foreign', 'industry', 'announces', 'president', 'all', 'on', 'imported', 'into']"
 trump created this shit if a mess on himself and us the people he needs to stop the tariff that is tanking the market and will create hyper inflation his obsession with tariff is crazy,6,6_inflation_cpi_fed_expected,"['inflation', 'cpi', 'fed', 'expected', 'prices', 'rates', 'core', 'impact', 'rate', 'low']"
first inflation report since trumps liberation day tariff announcement ,6,6_inflation_cpi_fed_expected,"['inflation', 'cpi', 'fed', 'expected', 'prices', 'rates', 'core', 'impact', 'rate', 'low']"
 lets wait and see the effects of  trumps tariff taxes on inflation its probably one of the reasons he panicked and caved on the china tariffs,6,6_inflation_cpi_fed_expected,"['inflation', 'cpi', 'fed', 'expected', 'prices', 'rates', 'core', 'impact', 'rate', 'low']"
"inflation fell to  in april per feds pce index with core at  consumer spending slowed to  savings rate hit  trumps tariffs yet to impact prices fed cautious on rate cuts eyeing tariff effects

buyers lower inflation boosts purchasing power but tariff ",6,6_inflation_cpi_fed_expected,"['inflation', 'cpi', 'fed', 'expected', 'prices', 'rates', 'core', 'impact', 'rate', 'low']"
"  its the most poorly designed policy  take australia for example  there are zero tariffs on exports to oz and australia imports more from the us than they export to them

so lets slap a  tariff on them 

inflation will soar and middle and low america will suffer",6,6_inflation_cpi_fed_expected,"['inflation', 'cpi', 'fed', 'expected', 'prices', 'rates', 'core', 'impact', 'rate', 'low']"
 why should walmart eat the tariff the plan from trump was that the countries importing to the us would pay the tariff,7,7_walmart_eat_prices_price,"['walmart', 'eat', 'prices', 'price', 'target', 'absorb', 'costs', 'retailers', 'raise', 'increases']"
"  so why are you advocating against trump instead of advocating against walmart

you really hate trump that much that you cant see that the problem is corporations taking advantage of this tariff situation

the same people that complain that the republicans are giving tax breaks",7,7_walmart_eat_prices_price,"['walmart', 'eat', 'prices', 'price', 'target', 'absorb', 'costs', 'retailers', 'raise', 'increases']"
 why not dropping tariff zero let the us importers and consumers bear the tax tariff walmart literally said so and cause a trump meltdown on truth,7,7_walmart_eat_prices_price,"['walmart', 'eat', 'prices', 'price', 'target', 'absorb', 'costs', 'retailers', 'raise', 'increases']"
 they of course will not never mind that trump stated repeatedly that existed pay tariffs wrong walmarts ceo has already stated publicly that they cannot absorb this level of tariff,7,7_walmart_eat_prices_price,"['walmart', 'eat', 'prices', 'price', 'target', 'absorb', 'costs', 'retailers', 'raise', 'increases']"
 mark   did people forget all the weird clothing items in walmart after the pandemic  they literally bought whatever shit they could so theyd have supply before trump put his first  china tariff  it takes  months for those goods to hit shelves cos slowly raise ,7,7_walmart_eat_prices_price,"['walmart', 'eat', 'prices', 'price', 'target', 'absorb', 'costs', 'retailers', 'raise', 'increases']"
 the crisis is the mass immigration that the liberals are bringing into canada you distracted the silly boomers into being scared of trump when in fact he is lowering taxes big time and deporting illegal immigrants you just gaslight us into thinking the issue is the tariff,8,8_canada_canadians_canadian_canadas,"['canada', 'canadians', 'canadian', 'canadas', 'liberals', 'you', 'election', 'he', 'trump', 'with']"
 why trump comes to canada for they need to come to trump to beg for tariff  remove instead,8,8_canada_canadians_canadian_canadas,"['canada', 'canadians', 'canadian', 'canadas', 'liberals', 'you', 'election', 'he', 'trump', 'with']"
"i agree their should be reciprocal agreement for trade  however in the case of canada 
trump made an agreement signed an agreement that he is now not living up to trumps tariff ultimatum forces country to promise to buy more american goods ",8,8_canada_canadians_canadian_canadas,"['canada', 'canadians', 'canadian', 'canadas', 'liberals', 'you', 'election', 'he', 'trump', 'with']"
" in the same breath trump says the us will always protect canada and that its not about money but its unfair

what is unfair

what the actual fuck is this whole tariff bullshit about then 

chaos talk that makes absolutely no sense",8,8_canada_canadians_canadian_canadas,"['canada', 'canadians', 'canadian', 'canadas', 'liberals', 'you', 'election', 'he', 'trump', 'with']"
" lmfaooo so far

no parliament for  months
parliament will sit for  days before summer break
sketchy election results
same old trudeau cabinet
signing fake eos 
no budget
tariff lies
bent the knee to trump
no pipelines
alberta wants to separate
housing prices not an",8,8_canada_canadians_canadian_canadas,"['canada', 'canadians', 'canadian', 'canadas', 'liberals', 'you', 'election', 'he', 'trump', 'with']"
"  dont think pm carney wants to replace anything hes got a pretty damn good amp impressive job of his own right now
when trump started calling canada  the st state of the us disrespect thats where relations went off the cliff then dts tariff threats amp actions",9,9_carney_mark_canada_carbon,"['carney', 'mark', 'canada', 'carbon', 'he', 'canadians', 'pm', 'election', 'canadian', 'liberal']"
 someone got very rich with this whole tariff stuff and not just the us stockmarket players mr carney has pulled a fast one on the canadian people he was going to be the tariff hero and protect us from orange man bad i cant stop laughing but i didnt vote for him,9,9_carney_mark_canada_carbon,"['carney', 'mark', 'canada', 'carbon', 'he', 'canadians', 'pm', 'election', 'canadian', 'liberal']"
"did canadians get misled by mark carney

before meeting with donald trump tariffs seemed to be off the table now after their meeting trump appears to have taken a softer stance toward mark carneyand suddenly the projected  billion in tariff revenue has vanished

now",9,9_carney_mark_canada_carbon,"['carney', 'mark', 'canada', 'carbon', 'he', 'canadians', 'pm', 'election', 'canadian', 'liberal']"
"trump ruins carney  did danielle smith know it was coming 

 

digitalservices cdnpoli markcarney trumptariff elbowsup",9,9_carney_mark_canada_carbon,"['carney', 'mark', 'canada', 'carbon', 'he', 'canadians', 'pm', 'election', 'canadian', 'liberal']"
hahaha did he accomplish anything on that visit not a single tariff suspension tariffs on the film industry continue to move forward trump also called freeland a loser and trudeau the trudeau governor just opposite carney who said nothing in response hes a beta clown,9,9_carney_mark_canada_carbon,"['carney', 'mark', 'canada', 'carbon', 'he', 'canadians', 'pm', 'election', 'canadian', 'liberal']"
" quantitative probabilities most likely scenario  months
pjapan agrees to increase us lng imports 
pjapan agrees to tangible steps on auto ntbs 
pus amp japan reach mutually agreeable currency understanding 
pus provides significant tariff relief",10,10_japan_japanese_talks_cars,"['japan', 'japanese', 'talks', 'cars', 'meeting', 'minister', 'auto', 'negotiations', 'defense', 'us']"
"japan us fail to reach tariff agreement 

macroedge",10,10_japan_japanese_talks_cars,"['japan', 'japanese', 'talks', 'cars', 'meeting', 'minister', 'auto', 'negotiations', 'defense', 'us']"
"we dont buy american cars or rice because they are of poor quality thats all

trump japan tariff ",10,10_japan_japanese_talks_cars,"['japan', 'japanese', 'talks', 'cars', 'meeting', 'minister', 'auto', 'negotiations', 'defense', 'us']"
nikkei to face selling on trump tariff remarks okasan says aapl,10,10_japan_japanese_talks_cars,"['japan', 'japanese', 'talks', 'cars', 'meeting', 'minister', 'auto', 'negotiations', 'defense', 'us']"
  yes i dont understand why if he would simply treat japan as if they were a us state economically no tariffs etc this tariff issue would be far less relevant usjapancanada coalition would rule the world economically,10,10_japan_japanese_talks_cars,"['japan', 'japanese', 'talks', 'cars', 'meeting', 'minister', 'auto', 'negotiations', 'defense', 'us']"
 markets took a dive wednesday after federal reserve chair jerome powell painted a stagflationary picture of risks facing the economy warning of both lower growth and higher prices as a result of the trump administrations tariff policies,11,11_powell_rates_fed_jerome,"['powell', 'rates', 'fed', 'jerome', 'chair', 'inflation', 'steady', 'interest', 'uncertainty', 'rate']"
"federal reserve chair jerome powell kept his options open when he said  steady economic activity was giving the central bank time to study the  effects that tariff increases have on prices and growth before resuming  interestrate reductions
",11,11_powell_rates_fed_jerome,"['powell', 'rates', 'fed', 'jerome', 'chair', 'inflation', 'steady', 'interest', 'uncertainty', 'rate']"
"powell pushes back on trump says tariff uncertainty justifies holding rates steady  via  

how did he ever become fed chair",11,11_powell_rates_fed_jerome,"['powell', 'rates', 'fed', 'jerome', 'chair', 'inflation', 'steady', 'interest', 'uncertainty', 'rate']"
fomc powell says tariff uncertainty peaked in april but has come down overall economic picture points to good economy sentiment off low levels housng market subdued job market healthy current stance of policy leaves us positiond to respond as reqd fed will watch for now,11,11_powell_rates_fed_jerome,"['powell', 'rates', 'fed', 'jerome', 'chair', 'inflation', 'steady', 'interest', 'uncertainty', 'rate']"
" do because powell disagrees with tariff strategy he will keep rates high to try to force trump yo bend a knee

this prick should have been fired  years ago",11,11_powell_rates_fed_jerome,"['powell', 'rates', 'fed', 'jerome', 'chair', 'inflation', 'steady', 'interest', 'uncertainty', 'rate']"
 the us has a  billion trade surplus with the united kingdom so it already exports more than it imports meanwhile the baseline  tariff trump announced april  will remain in effect for most uk imports which could lead to higher prices for consumers thanks for nothing,12,12_uk_deal_british_cars,"['uk', 'deal', 'british', 'cars', 'trade', 'surplus', 'exports', 'with', 'goods', 'usuk']"
"key details in the ukus historic trade deal  

an historic trade deal where the us have slapped a blanked  tariff on all uk exports brilliant work hopefully europe and china will not be so soft",12,12_uk_deal_british_cars,"['uk', 'deal', 'british', 'cars', 'trade', 'surplus', 'exports', 'with', 'goods', 'usuk']"
 that whole thing was a joke on both the us and uk people trump gave big countries a  tariff months before the so called uk negotiation there was no negotiation uk already had  tariff but they just negotiated the  for positive media spin politicianslie end of,12,12_uk_deal_british_cars,"['uk', 'deal', 'british', 'cars', 'trade', 'surplus', 'exports', 'with', 'goods', 'usuk']"
"we have still been caught with the  tariff there should be no tariffs in trade with anybody if nations done likewise in the rariff war insread of caving things would be different now

simon jack tariff relief for uk but new clock ticking on us deal
",12,12_uk_deal_british_cars,"['uk', 'deal', 'british', 'cars', 'trade', 'surplus', 'exports', 'with', 'goods', 'usuk']"
interesting the only tariff trade deal that the trump admin has been able to scrape together so far is with the uk a country we already have a trade surplus with so now we get to pay more for anything coming from the uk with no measurable gain the art of the deal,12,12_uk_deal_british_cars,"['uk', 'deal', 'british', 'cars', 'trade', 'surplus', 'exports', 'with', 'goods', 'usuk']"
  this is actually the answer with that high a tariff the canadian flag was made somewhere in asia where the us has implemented much higher tariffs,13,13_canada_canadian_canadians_we,"['canada', 'canadian', 'canadians', 'we', 'our', 'us', 'you', 'dont', 'products', 'them']"
" canada allows in less than  of us exports

china opened factories in canada  exports all their goods to the us tariff free while charging  on us goods

 support trump correcting that",13,13_canada_canadian_canadians_we,"['canada', 'canadian', 'canadians', 'we', 'our', 'us', 'you', 'dont', 'products', 'them']"
 insane lets say you are a us manufacturer of couches you pay  on the upholstery component then ship the finished product to canadian retailer who then gets billed  tariff on top of that us made is priced out of an entire country on that one product alone,13,13_canada_canadian_canadians_we,"['canada', 'canadian', 'canadians', 'we', 'our', 'us', 'you', 'dont', 'products', 'them']"
 canada sell usa  of there products to us reciprocal tariff were crippled canada,13,13_canada_canadian_canadians_we,"['canada', 'canadian', 'canadians', 'we', 'our', 'us', 'you', 'dont', 'products', 'them']"
  the problem is that you lie  they dont have a  tariff on us we love canada so i guess youre gonna need to find someone else who has deep pockets,13,13_canada_canadian_canadians_we,"['canada', 'canadian', 'canadians', 'we', 'our', 'us', 'you', 'dont', 'products', 'them']"
  i would have a feeling this would be tariff exempt as it would be deemed vital for the us the keystone xl pipeline plans are already complete and shovels were almost in the ground until obama i would venture a guess those plans are still fully viable,14,14_steel_aluminum_double_announced,"['steel', 'aluminum', 'double', 'announced', 'tons', 'imported', 'increase', 'president', 'rally', 'friday']"
"us president donald trump announced his intention to increase tariffs on steel imports into the united states during a rally in pennsylvania on friday

trump stated at the rally that the increased tariff rate would even further secure the steel industry in the united states ",14,14_steel_aluminum_double_announced,"['steel', 'aluminum', 'double', 'announced', 'tons', 'imported', 'increase', 'president', 'rally', 'friday']"
us steel was always staying in pittsburgh they claimed they would move if deal was blocked trumps approved the deal but labelling it as partnership instead of acquisition but regardless they are taking a  billion equity stake trump also dropping tariffs on japanese steel,14,14_steel_aluminum_double_announced,"['steel', 'aluminum', 'double', 'announced', 'tons', 'imported', 'increase', 'president', 'rally', 'friday']"
"trump directly talks to the working class in pittsburgh pennsylvania   the us japan steel deal means hundreds of thousands of domestic steel jobs with increased tariffs on steel produced in foreign nations

",14,14_steel_aluminum_double_announced,"['steel', 'aluminum', 'double', 'announced', 'tons', 'imported', 'increase', 'president', 'rally', 'friday']"
"us auto makers use lots of imported steel

watch the us auto makers increase car prices
due to the tariff on imported steel",14,14_steel_aluminum_double_announced,"['steel', 'aluminum', 'double', 'announced', 'tons', 'imported', 'increase', 'president', 'rally', 'friday']"
"risk on markets for asian session 
us courts blocking trumps tariff plans ",15,15_court_ruling_authority_courts,"['court', 'ruling', 'authority', 'courts', 'international', 'judges', 'federal', 'supreme', 'legal', 'emergency']"
embarrassing defeat for newsom trump tariff lawsuit thrown out  via ,15,15_court_ruling_authority_courts,"['court', 'ruling', 'authority', 'courts', 'international', 'judges', 'federal', 'supreme', 'legal', 'emergency']"
  can the court block trumps tariff,15,15_court_ruling_authority_courts,"['court', 'ruling', 'authority', 'courts', 'international', 'judges', 'federal', 'supreme', 'legal', 'emergency']"
brief that torched trumps tariff power grab coalition including leading figures on right filed fiery brief with court that rebuffed most trump tariffs they are taxation by proclamation amp do violence to the constitution  judge cited it  times ,15,15_court_ruling_authority_courts,"['court', 'ruling', 'authority', 'courts', 'international', 'judges', 'federal', 'supreme', 'legal', 'emergency']"
breaking scotus denies request that it grant cert take appeal in challenge to trumps tariffs before judgment in other words scotus is letting lower courts continue on with handling tariff cases ,15,15_court_ruling_authority_courts,"['court', 'ruling', 'authority', 'courts', 'international', 'judges', 'federal', 'supreme', 'legal', 'emergency']"
"the  trade policy cycle in one image 
tariff on  tariff off  repeat
like a neverending taxi meter 
made in usa but affecting the world



tariffontariffoff trump trump trumptariffs trumprecession ",16,16_policy_trump_man_trumps,"['policy', 'trump', 'man', 'trumps', 'donald', 'tariff', 'plan', 'via', 'strategy', 'one']"
"baby trump on tariff
 ",16,16_policy_trump_man_trumps,"['policy', 'trump', 'man', 'trumps', 'donald', 'tariff', 'plan', 'via', 'strategy', 'one']"
gm pours cold water over trumps tariff claims with new prediction  the new republic ,16,16_policy_trump_man_trumps,"['policy', 'trump', 'man', 'trumps', 'donald', 'tariff', 'plan', 'via', 'strategy', 'one']"
"our president paul du quenoy  on trumps tariff victory
",16,16_policy_trump_man_trumps,"['policy', 'trump', 'man', 'trumps', 'donald', 'tariff', 'plan', 'via', 'strategy', 'one']"
" the goal of the trump tariff regime is to insert djt into business decisions where he has no other connection you ought to be investigating the grift he is collecting for a seat at the table in deciding on tariffs specifics

rent seeking behavior has a supply political side",16,16_policy_trump_man_trumps,"['policy', 'trump', 'man', 'trumps', 'donald', 'tariff', 'plan', 'via', 'strategy', 'one']"
  it is easy to have a productive conversation about fair trade when it comes to cdn dairy if you want to read about it  amazing that the tariffs start only if the us floods out canadian dairy producers  not a base tariff,17,17_quota_canada_never_usmca,"['quota', 'canada', 'never', 'usmca', 'products', 'farmers', 'has', 'been', 'canadian', 'amount']"
this  claim from trump is total crap  prior to trump ripping up usmca tariff agreement  of all us exports to canada were dutyfree including nearly all dairy products  the rules for dairy quotas even if trump now doesnt like them were part of the usmca,17,17_quota_canada_never_usmca,"['quota', 'canada', 'never', 'usmca', 'products', 'farmers', 'has', 'been', 'canadian', 'amount']"
    my god do you actually think canada had  or  tariffs on us sir do you know what the difference between a tariff and a tariff rate quota is or are you misinformed likely the latter i assume,17,17_quota_canada_never_usmca,"['quota', 'canada', 'never', 'usmca', 'products', 'farmers', 'has', 'been', 'canadian', 'amount']"
  in harmony weve been shafted for years because we complied and allowed canada to take advantage of us you do realize that we dont have reciprocal tariffs with canada right they have a  tariff on our dairy products and we have none on theirs thats all im asking for is,17,17_quota_canada_never_usmca,"['quota', 'canada', 'never', 'usmca', 'products', 'farmers', 'has', 'been', 'canadian', 'amount']"
bets assuming the tariff sitch stay relatively close to what it is how long until us farmers have to start killing off livestock because its too expensive to keep them and not sell them wonder what the knock on effect of that will be,17,17_quota_canada_never_usmca,"['quota', 'canada', 'never', 'usmca', 'products', 'farmers', 'has', 'been', 'canadian', 'amount']"
"clutch trending parlay market on ape chain  

president trump spooked the markets again with more tariff chatter is over  months enough time for btc to surpass k ",18,18_bitcoin_crypto_btc_markets,"['bitcoin', 'crypto', 'btc', 'markets', 'volatility', 'market', 'news', 'trumptariff', 'price', 'july']"
i like bitcoin as a hedge a lot more than whatever that strategic reserve narrative was about but while its showing signs of decoupling from tech bloomberg economics modelling suggests recent gains are still driven by market exuberance and trumps tariff pause ,18,18_bitcoin_crypto_btc_markets,"['bitcoin', 'crypto', 'btc', 'markets', 'volatility', 'market', 'news', 'trumptariff', 'price', 'july']"
"not too sure how to react to this market

geopolitical tension getting higher yet btc seems to be shrugging it off

could also be some kind of laggard movement which happened before when trump announced the tariff during liberation day

for now observe

btc",18,18_bitcoin_crypto_btc_markets,"['bitcoin', 'crypto', 'btc', 'markets', 'volatility', 'market', 'news', 'trumptariff', 'price', 'july']"
"im going to close most of my position on btc rest im going to keep as the u certainty with tariff wars is going to take us even lower my tp limit is at k lets see 

eth closed with nice profits hype at break even 

what we buying  apart from tbc",18,18_bitcoin_crypto_btc_markets,"['bitcoin', 'crypto', 'btc', 'markets', 'volatility', 'market', 'news', 'trumptariff', 'price', 'july']"
"the fourth turning teaches us that it ends in total war 

many wars come to culmination with  tariff 

we are are accelerating 

powell may resign tomorrow
bitcoin to the moon",18,18_bitcoin_crypto_btc_markets,"['bitcoin', 'crypto', 'btc', 'markets', 'volatility', 'market', 'news', 'trumptariff', 'price', 'july']"
 is going to get a trumptariff,19,19_trumptariff_trumprecession_ustariff_trumptariffs,"['trumptariff', 'trumprecession', 'ustariff', 'trumptariffs', 'trumpmarketcrash', 'your', 'winning', 'thank', 'trumpisunfitforoffice', 'thanks']"
" it is not your country
 apply the law and you would be free trump lepen trumptariff ",19,19_trumptariff_trumprecession_ustariff_trumptariffs,"['trumptariff', 'trumprecession', 'ustariff', 'trumptariffs', 'trumpmarketcrash', 'your', 'winning', 'thank', 'trumpisunfitforoffice', 'thanks']"
 what happened to freespeech beckysangels trump trumptariff argentina communiststate fanart galaxysultra firstamendment,19,19_trumptariff_trumprecession_ustariff_trumptariffs,"['trumptariff', 'trumprecession', 'ustariff', 'trumptariffs', 'trumpmarketcrash', 'your', 'winning', 'thank', 'trumpisunfitforoffice', 'thanks']"
"of course they are 

only the fools think trump is bluffing 

trumptariff winning",19,19_trumptariff_trumprecession_ustariff_trumptariffs,"['trumptariff', 'trumprecession', 'ustariff', 'trumptariffs', 'trumpmarketcrash', 'your', 'winning', 'thank', 'trumpisunfitforoffice', 'thanks']"
"dear america its your turn for the mad king
sincerely great britain

trumptariffs trumprecession trumpmarketcrash trumptariff americafirst americafinished",19,19_trumptariff_trumprecession_ustariff_trumptariffs,"['trumptariff', 'trumprecession', 'ustariff', 'trumptariffs', 'trumpmarketcrash', 'your', 'winning', 'thank', 'trumpisunfitforoffice', 'thanks']"
" was it not you who complained that morrison caused china to tariff aus goods
china has been tariffing aus exports for decades
likewise aus has been tariffing us goods both openly and by stealth ie biosecurity
do try to learn the facts",20,20_australia_beef_surplus_agreement,"['australia', 'beef', 'surplus', 'agreement', 'we', 'exports', 'trade', 'goods', 'free', 'us']"
"its a very strange strategy   trump tariffs backfire on us economy by  in  australia   
trump tariffs economy hotmess ",20,20_australia_beef_surplus_agreement,"['australia', 'beef', 'surplus', 'agreement', 'we', 'exports', 'trade', 'goods', 'free', 'us']"
